ORD,Accession number,Continent,Country,Accession name,Year of cross ,Year of release,,Corporative Data Base (Clon) ,Corporative Data Base(Fam) ,Invitro,Population,Catalogue,Organization
1,CIP279139.5,LAC,Peru,Santa Ana,1979,--,,YES,YES,YES,,YES,
2,CIP279142.12,LAC,Peru,Maria Huanca,1979,1987,,YES,YES,YES,,YES,
3,CIP304371.67,ASIA,Bangladesh,BARI Alu-87,2004,2019,,YES,YES,YES,LTVR,NO,
4,CIP370120,ASIA,Indonesia,Fries,1970,2003,,YES,YES,YES,---,YES,
5,CIP371056.175,SSA,Angola,Boa Branca,1971,1993,,NO,NO,NO,--,NO,
6,CIP374080.1,LAC,Peru,Tahuaqueña,1974,1988,,YES,YES,YES,,YES,
7,CIP374080.5,LAC,Bolivia,Runa Toralapa,1974,1987,,YES,YES,YES,--,YES,
,CIP374080.5,SSA,Burundi,Majambere,1974,1991,,YES,YES,YES,--,YES,
,CIP374080.5,SSA,Ethiopia,Managesha,1974,1993,,YES,YES,YES,,YES,
,CIP374080.5,LAC,Guatemala,ICTA Paquix,1974,1995,,YES,YES,YES,,YES,
,CIP374080.5,LAC,Peru,Perricholi,1974,1984,,YES,YES,YES,,YES,
,CIP374080.5,SSA,Uganda,Kabale,1974,1991,,YES,YES,YES,,YES,
,CIP374080.5,ASIA,Vietnam,P-3,1974,1993,,YES,YES,YES,,YES,
8,CIP376180.6,LAC,Peru,Atahualpa,1976,1998,,YES,YES,YES,,YES,
9,CIP377427.1,ASIA,India,Kufri Chipsona 1 ,1977,1998,,YES,YES,YES,LTVR,NO,
10,CIP377740.2,LAC,Peru,INIA - 301,1977,1999,,YES,YES,YES,,YES,
11,CIP377744.1,LAC,Peru,Kori - INIA,1977,1993,,YES,YES,YES,A,YES,
12,CIP377744.2,LAC,Peru,P-9,1977,--,,YES,YES,YES,A,YES,
13,CIP377852.1,SSA,Madagascar,Kinga,1977,1987,,YES,YES,YES,BW,YES,
14,CIP37792.5,SSA,Ethiopia,Jalenie,1977,2002,,NO,NO,NO,--,NO,
15,CIP377957.5,SSA,Madagascar,Meva,1977,1991,,YES,YES,YES,LTVR,YES,
16,CIP378501.16,SSA,Ethiopia,Sissay,1978,1987,,YES,YES,YES,LB,YES,
17,CIP378501.3,SSA,Ethiopia,Awash,1978,1991,,YES,YES,YES,LB,YES,
18,CIP378699.2,SSA,Burundi,Kinigi,1978,1985,,YES,YES,YES,--,YES,
,CIP378699.2,SSA,Rwanda,Kinigi,1978,1983,,YES,YES,YES,,YES,
,CIP378699.2,SSA,Uganda,Kinigi,1978,1984,,YES,YES,YES,,YES,
,CIP378699.2,SSA,Zaire,Kinigi,1978,-,,YES,YES,YES,,YES,
19,CIP378711.5,SSA,Burundi,Muziranzara,1978,--,,YES,YES,YES,--,YES,
20,CIP379055.1,LAC,Colombia,Ica Zipa,1979,1995,,YES,YES,YES,,YES,
21,CIP379666.501,ASIA,Bangladesh,Heera/BARI Alu-1,1979,1990,,YES,YES,YES,LTVR,YES,
22,CIP379706.27,LAC,Peru,Costanera,1979,1994,,YES,YES,YES,LTVR,YES,
23,CIP379735.1,LAC,Peru,Muru,1979,1987,,YES,YES,YES,,YES,
24,CIP379735.3,LAC,Peru,Yana,1979,1987,,YES,YES,YES,,YES,
25,CIP380013.12,LAC,Venezuela,Andinita,1980,1987,,YES,YES,YES,,YES,
26,CIP380109.30,LAC,Peru,UNALM Guisi,1980,1996,,YES,YES,YES,,YES,
27,CIP380389.1,LAC,Peru,Canchan-INIA,1980,1990,,YES,YES,YES,,YES,
28,CIP380479.6,SSA,Ethiopia,Zenge ,1980,2001,,YES,YES,NO,LTVR,NO,
29,CIP380496.6,LAC,Peru,Chagllina-INIA,1980,1995,,YES,YES,YES,,YES,
30,CIP380506.10,SSA,Burundi,Muruta,1980,1986,,YES,YES,YES,--,YES,
31,CIP380543.2,ASIA,Turkey,Yayla Kisi,1980,1992,,YES,YES,YES,,YES,
32,CIP380583.8,SSA,Congo,Baseko,1980,1994,,YES,YES,YES,,YES,
,CIP380583.8,SSA,Zaire,Baseko,1980,1995,,YES,YES,YES,,YES,
33,CIP380606.6,ASIA,Bangladesh,BARI Alu-78 ,1980,2017,,YES,YES,YES,--,YES,
,CIP380606.6,SSA,Congo,Enfula,1980,1994,,YES,YES,YES,,YES,
,CIP380606.6,SSA,Zaire,Enfula,1980,1995,,YES,YES,YES,,YES,
34,CIP381379.9,SSA,Uganda,Kisoro,1981,1991,,YES,YES,YES,,YES,
35,CIP381381.13,SSA,Cameroon,CIPIRA,1981,1992,,YES,YES,YES,A,YES,
,CIP381381.13,SSA,Kenya,Tigoni,1981,1998,,YES,YES,YES,A,YES,
,CIP381381.13,SSA,Madagascar,Avotre,1981,1999,,YES,YES,YES,A,YES,
,CIP381381.13,SSA,Malawi,Thandizo,1981,2011,,YES,YES,YES,A,YES,
,CIP381381.13,SSA,Mozambique,Lulimile,1981,2011,,YES,YES,YES,A,YES,
,CIP381381.13,LAC,Panama,IDIAP 92,1981,1992,,YES,YES,YES,A,YES,
,CIP381381.13,SSA,Rwanda,Tengeru,1981,2012,,YES,YES,YES,A,YES,
,CIP381381.13,SSA,Tanzania,Tengeru,1981,2012,,YES,YES,YES,A,YES,
36,CIP381381.20,SSA,Burundi,Victoria,1981,1998,,YES,YES,YES,A,YES,
,CIP381381.20,SSA,Congo,Kindja,1981,1996,,YES,YES,YES,A,YES,
,CIP381381.20,SSA,Kenya,Asante,1981,1998,,YES,YES,YES,A,YES,
,CIP381381.20,SSA,Madagascar,Maharevo,1981,1999,,YES,YES,YES,A,YES,
,CIP381381.20,SSA,Malawi,Zikomo,1981,2011,,YES,YES,YES,A,YES,
,CIP381381.20,SSA,Rwanda,Victoria/Asante,1981,1996,,YES,YES,YES,A,YES,
,CIP381381.20,SSA,Tanzania,Asante,1981,2012,,YES,YES,YES,A,YES,
,CIP381381.20,SSA,Uganda,Victoria,1981,1992,,YES,YES,YES,A,YES,
37,CIP381381.26,SSA,Burundi,Ingabire,1981,1992,,YES,YES,YES,A,YES,
38,CIP381381.9,SSA,Burundi,Rukinzo,1981,1993,,YES,YES,YES,A,YES,
,CIP381381.9,SSA,Madagascar,Marotia,1981,1999,,YES,YES,YES,A,YES,
39,CIP381390.30,LAC,Costa Rica,IDIAFRIT,1981,1996,,YES,YES,YES,,YES,
,CIP381390.30,LAC,Panama,IDIAFRIT,1981,1992,,YES,YES,YES,,YES,
40,CIP381391.3,SSA,Rwanda,Nderera,1981,1992,,YES,YES,NO,,NO,
41,CIP381395.1,SSA,Rwanda,Ngunda,1981,1992,,YES,YES,YES,,NO,
42,CIP381403.8,SSA,Uganda,Nakpot 2,1981,1999,,YES,YES,YES,A,NO,
43,CIP381406.6,SSA,Cameroon,Tubira,1981,1992,,YES,YES,YES,--,YES,
44,CIP382147.18,SSA,Burundi,Jubile,1982,1992,,YES,YES,YES,--,YES,
45,CIP382171.10,LAC,Panama,PRECODEPA,1982,1992,,YES,YES,YES,,YES,
46,CIP382171.11,LAC,Venezuela,Tibisay,1982,1995,,YES,YES,YES,,YES,
47,CIP382171.4,SSA,Burundi,Ruhanyura,1982,2003,,YES,YES,YES,A,NO,
,CIP382171.4,SSA,Congo,N’Simire,1982,1996,,YES,YES,YES,A,NO,
,CIP382171.4,SSA,Uganda,Nakpot 1,1982,1999,,YES,YES,YES,A,NO,
48,CIP382173.12,SSA,Ethiopia,Gorebela,1982,2002,,YES,YES,NO,A,NO,
49,CIP382195.21,SSA,Burundi,Magome,1982,--,,YES,YES,NO,---,NO,
50,CIP383120.14,SSA,Rwanda,Kigega,1983,1992,,YES,YES,YES,,YES,
51,CIP383140.6,SSA,Rwanda,Mugogo,1983,1992,,YES,YES,NO,,NO,
52,CIP384073.457,ASIA,Bangladesh,Chamak/BARI Alu-11,1984,1993,,YES,YES,YES,LTVR,YES,
53,CIP384321.19,SSA,Ethiopia,Degemegn,1984,2002,,YES,YES,YES,"	LB-V",NO,
,CIP384321.19,SSA,Mozambique,Angonia,1984,2011,,YES,YES,YES,A,NO,
54,CIP384321.3,SSA,Ethiopia,Babu,1984,2011,,YES,YES,NO,LB-V,NO,
55,CIP384321.9,SSA,Ethiopia,Guasa,1984,2002,,YES,YES,YES,LB-V,NO,
56,CIP384688.2,LAC,Peru,Chata Roja,1984,2000,,YES,YES,YES,,YES,
57,CIP384866.5,LAC,Peru,Amarilis-INIA,1984,1993,,YES,YES,YES,,YES,
58,CIP385079.364,ASIA,Bangladesh,Dheera/BARI Alu-12,1985,1993,,YES,YES,YES,LTVR,YES,
59,CIP385130.11,ASIA,Philippines,Raniag (Eben),1985,2000,,YES,YES,YES,,YES,
60,CIP385270.163,ASIA,Bangladesh,Saikat/BARI Alu-22,1985,2004,,YES,YES,NO,--,NO,
61,CIP385524.9,LAC,Costa Rica,Durán,1985,2011,,YES,YES,YES,,YES,
62,CIP386003.2,SSA,Rwanda,Mizero,1986,1992,,YES,YES,YES,,NO,
63,CIP386022.2,SSA,Congo,Murhula,1986,1994,,YES,YES,NO,--,NO,
64,CIP386040.9,LAC,Costa Rica,Birris,1986,1996,,YES,YES,YES,,YES,
65,CIP386056.7,LAC,Costa Rica,Floresta,1986,1996,,YES,YES,YES,A,YES,
66,CIP386292.3,SSA,Cameroon,IRA-92,1986,1992,,YES,YES,YES,,YES,
67,CIP386423.13,SSA,Ethiopia,Gudanie,1986,2006,,NO,YES,NO,--,NO,
68,CIP386768.10,LAC,Peru,Maria Tambeña,1986,1996,,YES,YES,YES,,YES,
69,CIP387096.11,SSA,Ethiopia,Gabbisa,1987,2005,,YES,YES,YES,A,NO,
70,CIP387096.2,LAC,Peru,Shulay,1987,2017,,YES,YES,YES,A,YES,
71,CIP387121.4,SSA,Uganda,Nakpot 4,1987,2002,,YES,YES,YES,A,NO,
72,CIP387224.25,SSA,Ethiopia,Bulle,1987,2005,,YES,YES,YES,A,NO,
73,CIP387233.24,SSA,Rwanda,Gikungu,1987,1992,,YES,YES,YES,,YES,
74,CIP387412.2,SSA,Ethiopia,Chala,1987,2005,,YES,YES,NO,A,NO,
75,CIP388611.22,SWCA,Georgia,Javakheturi,1988,--,,YES,YES,YES,LTVR,YES,
,CIP388611.22,LAC,Peru,Reiche,1988,1998,,YES,YES,YES,LTVR,YES,
76,CIP388676.1,SWCA,Kazakhstan,Miras,1988,--,,YES,YES,YES,LTVR,YES,
,CIP388676.1,LAC,Peru,Maria Bonita-INIA,1988,1995,,YES,YES,YES,LTVR,YES,
77,CIP388749.3,LAC,Ecuador,INIAP Margarita,1988,1995,,YES,YES,YES,,YES,
78,CIP388790.24,LAC,Ecuador,INIAP Fripapa 99,1988,1995,,YES,YES,YES,,YES,
79,CIP389701.3,SSA,Ethiopia,Mara Charre,1989,2005,,NO,YES,NO,--,NO,
80,CIP390478.9,LAC,Peru,Tacna,1990,1993,,YES,YES,YES,LTVR,YES,
,CIP390478.9,SWCA,Uzbekistan,Pskom,1990,2015,,YES,YES,YES,,YES,
81,CIP390663.8,LAC,Colombia,CIP-BACATA,1990,2021,,YES,YES,YES,LTVR,YES,
82,CIP391691.96,SSA,Kenya,Purple gold,1991,2010,,YES,YES,YES,A,YES,
,CIP391691.96,LAC,Peru,"INIA 309, SERRANITA",1991,2005,,YES,YES,YES,A,YES,
83,CIP392618.511,SSA,Ethiopia,Dancha,1992,2009,,NO,YES,NO,--,NO,
84,CIP392657.8,SSA,Rwanda,Twigire,1992,2020,,YES,YES,YES,B3C1,NO,
85,CIP392780.1,SWCA,Kazakhstan,Ushkonir,1992,--,,YES,YES,YES,LTVR,NO,
,CIP392780.1,LAC,Peru,BASADRE,1992,1997,,YES,YES,YES,LTVR,NO,
,CIP392780.1,SWCA,Tajikistan,АН-1,1992,2017,,YES,YES,YES,LTVR,NO,
86,CIP392781.1,LAC,Peru,Primavera,1992,1996,,YES,YES,YES,LTVR,YES,
87,CIP392797.22,ASIA,Bangladesh,BARI Alu-88,1992,2019,,YES,YES,YES,LTVR,YES,
,CIP392797.22,ASIA,China,Qingshu 9,1992,2011,,YES,YES,YES,LTVR,YES,
,CIP392797.22,SWCA,Georgia,Meskhuri Tsiteli,1992,2011,,YES,YES,YES,LTVR,YES,
,CIP392797.22,ASIA,Indonesia,Candidate,1992,--,,YES,YES,YES,LTVR,YES,
,CIP392797.22,SSA,Kenya,UNICA,1992,2015,,YES,YES,YES,LTVR,YES,
,CIP392797.22,ASIA,Laos,Candidate,1992,--,,YES,YES,YES,LTVR,YES,
,CIP392797.22,LAC,Panama,IDIAP Roja -17,1992,2017,,YES,YES,YES,LTVR,YES,
,CIP392797.22,LAC,Peru,UNICA,1992,1998,,YES,YES,YES,LTVR,YES,
,CIP392797.22,SSA,Rwanda,Kerekezo,1992,2020,,YES,YES,YES,LTVR,YES,
,CIP392797.22,SWCA,Tajikistan,Tajikiston ,1992,2013,,YES,YES,YES,LTVR,YES,
,CIP392797.22,ASIA,Vietnam,Candidate,1992,--,,YES,YES,YES,LTVR,YES,
,CIP392797.22,ASIA,Bhutan,Yusimaap,1992,2020,,YES,YES,YES,LTVR,YES,
,CIP392797.22,ASIA,India,Kufri Uday,1992,2021,,YES,YES,YES,LTVR,YES,
,CIP392797.22,SSA,Nigeria,UNICA,1992,2023,,YES,YES,YES,LTVR,YES,NRCRI and CIP 
88,CIP392820.1,ASIA,Bangladesh,BARI Alu-73,1992,2016,,YES,YES,YES,LTVR,YES,
89,CIP393077.159,SSA,Kenya,Konjo,1993,2015,,YES,YES,YES,B3C1,YES,
,CIP393077.159,SSA,Rwanda,Kazeneza,1993,2019,,YES,YES,YES,B3C1,YES,
90,CIP393077.54,SSA,Mozambique,Wa kaya,1993,2011,,YES,YES,YES,B3C1,YES,
91,CIP393079.4,SSA,Kenya,Lenana,1993,2017,,YES,YES,YES,B3C1,YES,
92,CIP393227.44,SSA,Angola,IIA 50,1993,2013,,NO,YES,NO,B3C1,NO,
93,CIP393280.64,SSA,Rwanda,Nkunganire,1993,2019,,YES,YES,YES,B3C1,YES,
,CIP393280.64,ASIA,Bangladesh,BARI Potato -53,1993,2014,,YES,YES,YES,B3C1,YES,
,CIP393280.64,LAC,Costa Rica,Pasquí,1993,2011,,YES,YES,YES,B3C1,YES,
,CIP393280.64,SSA,Rwanda,Nkunganire,1993,2019,,YES,YES,YES,B3C1,YES,
94,CIP393280.82,SSA,Uganda,Naropot 2,1993,2015,,YES,YES,YES,B3C1,NO,
95,CIP393371.157,SSA,Kenya,Wanjiku,1993,2017,,YES,YES,YES,B3C1,YES,
,CIP393371.157,SSA,Nigeria,Juriya,1993,2023,,YES,YES,YES,B3C1,YES,NRCRI and CIP 
96,CIP393371.58,ASIA,Bangladesh,BARI Potato-46,1993,2013,,YES,YES,YES,B3C1,YES,
,CIP393371.58,LAC,Costa Rica,Kamuk,1993,2011,,YES,YES,YES,B3C1,YES,
,CIP393371.58,SSA,Ethiopia,Belete,1993,2009,,YES,YES,YES,B3C1,YES,
,CIP393371.58,SSA,Kenya,Kenya Mpya,1993,2010,,YES,YES,YES,B3C1,YES,
,CIP393371.58,LAC,Peru,INIA 310;Chucmarina,1993,2007,,YES,YES,YES,B3C1,YES,
,CIP393371.58,SSA,Rwanda,Meru/Twihaze,1993,2012,,YES,YES,YES,B3C1,YES,
,CIP393371.58,SSA,Tanzania,Meru,1993,2012,,YES,YES,YES,B3C1,YES,
,CIP393371.58,SSA,Nigeria,Babban,1993,2023,,YES,YES,YES,B3C1,YES,NRCRI and CIP 
97,CIP393382.44,SSA,Angola,IIA50,1993,--,,YES,YES,YES,B3C1,YES,
,CIP393382.44,SSA,Uganda,Kachpot 1,1993,2006,,YES,YES,YES,B3C1,YES,
98,CIP393385.39,SSA,Kenya,Sherekea,1993,2010,,YES,YES,YES,B3C1,YES,
,CIP393385.39,SSA,Rwanda,Sherehekea,1993,2012,,YES,YES,YES,B3C1,YES,
,CIP393385.39,SSA,Tanzania,Sherehekea,1993,2012,,YES,YES,YES,B3C1,YES,
,CIP393385.39,SSA,Uganda,Kachpot 2,1993,2006,,YES,YES,YES,B3C1,YES,
99,CIP394611.112,SSA,Rwanda,Jyambere,1994,2020,,YES,YES,YES,,NO,
100,CIP395011.2,SSA,Mozambique,Kholophethe,1995,2011,,YES,YES,YES,"	B3C2",YES,
101,CIP395015.6,SSA,Angola,Rosa,1995,2014,,YES,YES,YES,B3C2,YES,
,CIP395015.6,SSA,Malawi,Chuma,1995,2011,,YES,YES,YES,B3C2,YES,
,CIP395015.6,SSA,Mozambique,Chitukuko,1995,2011,,YES,YES,YES,B3C2,YES,
102,CIP395111.13,SSA,Angola,Preferencia Chevron,1995,2013,,YES,YES,YES,B3C2,YES,
103,CIP396004.337,SSA,Ethiopia,Dagem,1996,2013,,YES,YES,YES,"	B3C2",NO,
104,CIP396018.241,SSA,Rwanda,Izihirve,1996,2019,,YES,YES,YES,B3C2,YES,
105,CIP396027.205,SSA,Malawi,Njuli,1996,2011,,YES,YES,YES,B3C2,YES,
106,CIP396034.103,SSA,Uganda,Naropot 3,1996,2015,,YES,YES,YES,B3C2,NO,
107,CIP396036.201,SSA,Angola,Barcelhina,1996,2014,,YES,YES,YES,B3C2,YES,
,CIP396036.201,SSA,Malawi,Mwai,1996,2011,,YES,YES,YES,B3C2,YES,
108,CIP396038.107,SSA,Uganda,Naropot 1,1996,2015,,YES,YES,YES,B3C2,NO,
109,CIP396311.1,ASIA,Bangladesh,BARI Alu-72,1996,2016,,YES,YES,YES,LTVR,YES,
,CIP396311.1,SWCA,Georgia,AISI,1996,2020,,YES,YES,YES,LTVR,YES,
110,CIP397006.18,ASIA,India,Kufri Thar 2,1997,2020,,YES,YES,YES,LTVR,NO,
111,CIP397029.21,ASIA,Bangladesh,BARI Alu-81,1997,2019,,YES,YES,YES,LTVR,NO,
112,CIP397065.28,ASIA,India,Kufri Lima,1997,2018,,YES,YES,YES,--,YES,
113,CIP397073.16,ASIA,Indonesia,--,1997,--,,YES,YES,YES,LTVR,YES,
,CIP397073.16,SWCA,Uzbekistan,Serkhosil,1997,2010,,YES,YES,YES,LTVR,YES,
114,CIP397077.16,SWCA,Kazakhstan,Alliance,1997,2009,,YES,YES,YES,LTVR,YES,
,CIP397077.16,SWCA,Tajikistan,Fayzobod,1997,2015,,YES,YES,YES,LTVR,YES,
,CIP397077.16,SWCA,Uzbekistan,Sarnav,1997,2015,,YES,YES,YES,LTVR,YES,
115,CIP398017.53,LAC,Costa Rica,Palmira,1998,2020,,YES,YES,YES,LBHT-1,YES,
116,CIP398190.200,SSA,Kenya,Nyota,1998,2017,,YES,YES,YES,"	LBHT-1",YES,
,CIP398190.200,SSA,Nigeria,Kyau,1998,2023,,YES,YES,YES,LBHT-1,YES,NRCRI and CIP 
117,CIP398190.615,SSA,Rwanda,Ndeza,1998,2019,,YES,YES,YES,LBHT-1,YES,
118,CIP398190.89,SSA,Rwanda,Seka,1998,2020,,YES,YES,YES,LBHT-1,NO,
119,CIP398208.620,SWCA,Georgia,Tskriala,1998,2020,,YES,YES,YES,LBHT-1,YES,
120,CIP398208.704,SSA,Kenya,Chulu,1998,2017,,YES,YES,YES,"	LBHT-1",YES,
121,CIP398211.35,LAC,Peru,Musuq Tomasa,1998,--,,YES,YES,YES,,YES,
122,CIP399049.22,LAC,Peru,Poderosa,1999,2017,,YES,YES,YES,B1C5,YES,
123,CIP399062.118,LAC,Peru,Kawsay,1999,2017,,YES,YES,YES,B1C5,YES,
124,CIP399075.7,LAC,Peru,Puca Lliclla INIA 312,1999,2007,,YES,YES,YES,B1C5,YES,
125,CIP399085.23,LAC,Peru,"INIA 311, Pallay Poncho",1999,2007,,YES,YES,YES,B1C5,YES,
